Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%).1,Imports ($M),RtW (%).2,Net Exports ($M),Exports Ticker,Imports Ticker,country,year
Uzbekistan,250.1,0.03,244.27,0.05,5.83,0.0,238.43,927D1136 Index,136D1927 Index,Italy,2015
Zambia,248.55,0.03,31.1,0.01,217.45,0.05,-186.35,754D1136 Index,136D1754 Index,Italy,2015
Guatemala,236.08,0.03,118.99,0.03,117.09,0.03,1.91,258D1136 Index,136D1258 Index,Italy,2015
Mauritius,234.22,0.03,100.74,0.02,133.48,0.03,-32.75,684D1136 Index,136D1684 Index,Italy,2015
Senegal,214.0,0.02,121.37,0.03,92.63,0.02,28.74,722D1136 Index,136D1722 Index,Italy,2015
Mauritania,209.09,0.02,55.19,0.01,153.9,0.04,-98.71,682D1136 Index,136D1682 Index,Italy,2015
Iceland,194.07,0.02,155.64,0.03,38.42,0.01,117.22,176D1136 Index,136D1176 Index,Italy,2015
Armenia,182.61,0.02,148.54,0.03,34.07,0.01,114.47,911D1136 Index,136D1911 Index,Italy,2015
Montenegro,179.13,0.02,130.34,0.03,48.79,0.01,81.56,943D1136 Index,136D1943 Index,Italy,2015
Sudan,177.3,0.02,159.84,0.03,17.46,0.0,142.37,732D1136 Index,136D1732 Index,Italy,2015
Syria,168.78,0.02,144.14,0.03,24.64,0.01,119.51,463D1136 Index,136D1463 Index,Italy,2015
"Congo, Democratic Republic",155.5,0.02,68.95,0.01,86.55,0.02,-17.6,636D1136 Index,136D1636 Index,Italy,2015
Honduras,154.0,0.02,82.11,0.02,71.89,0.02,10.22,268D1136 Index,136D1268 Index,Italy,2015
Uganda,152.93,0.02,31.37,0.01,121.56,0.03,-90.19,746D1136 Index,136D1746 Index,Italy,2015
Papua New Guinea,124.34,0.01,15.41,0.0,108.93,0.03,-93.53,853D1136 Index,136D1853 Index,Italy,2015
Tanzania,122.7,0.01,79.05,0.02,43.65,0.01,35.4,738D1136 Index,136D1738 Index,Italy,2015
Myanmar,116.18,0.01,53.82,0.01,62.37,0.02,-8.55,518D1136 Index,136D1518 Index,Italy,2015
Chad,96.89,0.01,44.35,0.01,52.54,0.01,-8.19,628D1136 Index,136D1628 Index,Italy,2015
El Salvador,96.26,0.01,71.13,0.02,25.13,0.01,45.99,253D1136 Index,136D1253 Index,Italy,2015
Zimbabwe,94.38,0.01,10.4,0.0,83.98,0.02,-73.58,698D1136 Index,136D1698 Index,Italy,2015
Mali,86.99,0.01,76.15,0.02,10.84,0.0,65.32,678D1136 Index,136D1678 Index,Italy,2015
Mongolia,85.36,0.01,33.27,0.01,52.1,0.01,-18.83,948D1136 Index,136D1948 Index,Italy,2015
Madagascar,82.87,0.01,47.32,0.01,35.55,0.01,11.78,674D1136 Index,136D1674 Index,Italy,2015
Nicaragua,78.75,0.01,38.64,0.01,40.11,0.01,-1.48,278D1136 Index,136D1278 Index,Italy,2015
Burkina Faso,71.34,0.01,65.47,0.01,5.87,0.0,59.6,748D1136 Index,136D1748 Index,Italy,2015
Brunei Darussalam,63.86,0.01,63.82,0.01,0.04,0.0,63.79,516D1136 Index,136D1516 Index,Italy,2015
Seychelles,63.26,0.01,23.1,0.01,40.16,0.01,-17.05,718D1136 Index,136D1718 Index,Italy,2015
Tajikistan,60.81,0.01,11.09,0.0,49.72,0.01,-38.63,923D1136 Index,136D1923 Index,Italy,2015
New Caledonia,59.83,0.01,57.12,0.01,2.7,0.0,54.42,839D1136 Index,136D1839 Index,Italy,2015
Solomon Islands,44.29,0.01,0.21,0.0,44.09,0.01,-43.88,813D1136 Index,136D1813 Index,Italy,2015
Liberia,43.46,0.0,40.17,0.01,3.28,0.0,36.89,668D1136 Index,136D1668 Index,Italy,2015
Maldives,38.92,0.0,23.48,0.01,15.44,0.0,8.04,556D1136 Index,136D1556 Index,Italy,2015
Togo,36.67,0.0,25.94,0.01,10.73,0.0,15.22,742D1136 Index,136D1742 Index,Italy,2015
Guinea,35.64,0.0,30.56,0.01,5.08,0.0,25.48,656D1136 Index,136D1656 Index,Italy,2015
Benin,35.32,0.0,28.95,0.01,6.37,0.0,22.57,638D1136 Index,136D1638 Index,Italy,2015
Malawi,34.48,0.0,12.64,0.0,21.85,0.01,-9.21,676D1136 Index,136D1676 Index,Italy,2015
Djibouti,34.23,0.0,32.79,0.01,1.44,0.0,31.35,611D1136 Index,136D1611 Index,Italy,2015
Jamaica,30.87,0.0,28.19,0.01,2.68,0.0,25.52,343D1136 Index,136D1343 Index,Italy,2015
Rwanda,28.79,0.0,25.86,0.01,2.93,0.0,22.93,714D1136 Index,136D1714 Index,Italy,2015
Guyana,28.78,0.0,4.73,0.0,24.05,0.01,-19.32,336D1136 Index,136D1336 Index,Italy,2015
Somalia,26.67,0.0,26.3,0.01,0.37,0.0,25.92,726D1136 Index,136D1726 Index,Italy,2015
Nepal,26.52,0.0,15.48,0.0,11.04,0.0,4.44,558D1136 Index,136D1558 Index,Italy,2015
Laos,26.13,0.0,10.49,0.0,15.64,0.0,-5.15,544D1136 Index,136D1544 Index,Italy,2015
Kyrgyzstan,23.67,0.0,22.7,0.0,0.97,0.0,21.72,917D1136 Index,136D1917 Index,Italy,2015
Central African Rep.,22.96,0.0,22.55,0.0,0.41,0.0,22.14,626D1136 Index,136D1626 Index,Italy,2015
Niger,20.33,0.0,20.12,0.0,0.21,0.0,19.92,692D1136 Index,136D1692 Index,Italy,2015
Fiji,19.44,0.0,6.59,0.0,12.84,0.0,-6.25,819D1136 Index,136D1819 Index,Italy,2015
Faeroe Islands,17.09,0.0,17.01,0.0,0.08,0.0,16.93,816D1136 Index,136D1816 Index,Italy,2015
Peoples Democratic Republic of Yemen,16.83,0.0,10.11,0.0,6.72,0.0,3.39,474D1136 Index,136D1474 Index,Italy,2015
Sierra Leone,16.38,0.0,15.82,0.0,0.56,0.0,15.26,724D1136 Index,136D1724 Index,Italy,2015
Bermuda,15.82,0.0,8.07,0.0,7.75,0.0,0.32,319D1136 Index,136D1319 Index,Italy,2015
Barbados,14.92,0.0,14.14,0.0,0.78,0.0,13.36,316D1136 Index,136D1316 Index,Italy,2015
Cape Verde,13.48,0.0,11.05,0.0,2.44,0.0,8.61,624D1136 Index,136D1624 Index,Italy,2015
Bahamas,13.03,0.0,7.85,0.0,5.18,0.0,2.67,313D1136 Index,136D1313 Index,Italy,2015
Suriname,11.42,0.0,10.97,0.0,0.45,0.0,10.52,366D1136 Index,136D1366 Index,Italy,2015
Haiti,10.85,0.0,8.48,0.0,2.37,0.0,6.1,263D1136 Index,136D1263 Index,Italy,2015
Burundi,7.74,0.0,4.18,0.0,3.56,0.0,0.62,618D1136 Index,136D1618 Index,Italy,2015
Aruba,7.24,0.0,7.23,0.0,0.01,0.0,7.22,314D1136 Index,136D1314 Index,Italy,2015
Afghanistan,6.76,0.0,4.77,0.0,1.99,0.0,2.78,512D1136 Index,136D1512 Index,Italy,2015
Vanuatu,3.28,0.0,0.81,0.0,2.47,0.0,-1.66,846D1136 Index,136D1846 Index,Italy,2015
St. Vincent & Grens.,2.89,0.0,2.75,0.0,0.14,0.0,2.61,364I1136 Index,136D1364 Index,Italy,2015
St. Lucia,2.81,0.0,2.28,0.0,0.53,0.0,1.75,362D1136 Index,136D1362 Index,Italy,2015
Gambia,2.8,0.0,1.57,0.0,1.24,0.0,0.33,648D1136 Index,136D1648 Index,Italy,2015
Belize,2.3,0.0,2.05,0.0,0.25,0.0,1.8,339D1136 Index,136D1339 Index,Italy,2015
Greenland,2.25,0.0,2.25,0.0,0.0,0.0,2.25,326D1136 Index,136D1326 Index,Italy,2015
North Korea,2.14,0.0,1.75,0.0,0.39,0.0,1.36,954D1136 Index,136D1954 Index,Italy,2015
Grenada,1.63,0.0,1.61,0.0,0.02,0.0,1.59,328D1136 Index,136D1328 Index,Italy,2015
Dominica,1.42,0.0,1.36,0.0,0.06,0.0,1.3,321D1136 Index,136D1321 Index,Italy,2015
Guinea-Bissau,1.13,0.0,0.0,0.0,1.13,0.0,-1.12,654D1136 Index,136D1654 Index,Italy,2015
Sao Tome & Principe,0.63,0.0,0.18,0.0,0.45,0.0,-0.27,716D1136 Index,136D1716 Index,Italy,2015
Comoros,0.47,0.0,0.24,0.0,0.24,0.0,0.0,632D1136 Index,136D1632 Index,Italy,2015
Tonga,0.41,0.0,0.41,0.0,0.0,0.0,0.41,866D1136 Index,136D1866 Index,Italy,2015
Samoa,0.21,0.0,0.2,0.0,0.0,0.0,0.2,862D1136 Index,136D1862 Index,Italy,2015
Netherlands Antilles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353D1136 Index,136D1353 Index,Italy,2015
European Union,456356.0,52.42,221964.0,47.86,234392.0,57.62,-12428.0,998D1136 Index,136D1998 Index,Italy,2016
Germany,123957.2,14.24,57597.5,12.42,66359.7,16.31,-8762.2,134D1136 Index,136D1134 Index,Italy,2016
France,81044.8,9.31,44790.9,9.66,36253.9,8.91,8537.0,132D1136 Index,136D1132 Index,Italy,2016
United States,60617.7,6.96,45216.8,9.75,15400.9,3.79,29815.9,111D1136 Index,136D1111 Index,Italy,2016
China,47007.9,5.4,16738.0,3.61,30269.9,7.44,-13531.9,924D1136 Index,136D1924 Index,Italy,2016
Spain,42830.9,4.92,20899.9,4.51,21931.0,5.39,-1031.1,184D1136 Index,136D1184 Index,Italy,2016
United Kingdom,35633.0,4.09,23177.5,5.0,12455.5,3.06,10722.0,112D1136 Index,136D1112 Index,Italy,2016
Belgium,34406.8,3.95,14757.3,3.18,19649.5,4.83,-4892.2,124D1136 Index,136D1124 Index,Italy,2016
Netherlands,32473.1,3.73,10161.1,2.19,22312.0,5.48,-12150.9,138D1136 Index,136D1138 Index,Italy,2016
Switzerland,31502.7,3.62,19741.3,4.26,11761.4,2.89,7979.9,146D1136 Index,136D1146 Index,Italy,2016
Poland,20688.16,2.38,10961.6,2.36,9726.56,2.39,1235.04,964D1136 Index,136D1964 Index,Italy,2016
Russia,19619.05,2.25,7846.45,1.69,11772.6,2.89,-3926.15,922D1136 Index,136D1922 Index,Italy,2016
Turkey,18956.28,2.18,10701.3,2.31,8254.98,2.03,2446.32,186D1136 Index,136D1186 Index,Italy,2016
Austria,18718.46,2.15,9390.17,2.02,9328.29,2.29,61.88,122D1136 Index,136D1122 Index,Italy,2016
Romania,14647.24,1.68,7655.57,1.65,6991.67,1.72,663.9,968D1136 Index,136D1968 Index,Italy,2016
Japan,13221.42,1.52,8767.85,1.89,4453.57,1.09,4314.28,158D1136 Index,136D1158 Index,Italy,2016
Czech Republic,12900.57,1.48,5885.34,1.27,7015.23,1.72,-1129.89,935D1136 Index,136D1935 Index,Italy,2016
Hungary,9554.52,1.1,4460.91,0.96,5093.61,1.25,-632.7,944D1136 Index,136D1944 Index,Italy,2016
Algeria,9362.41,1.08,4645.0,1.0,4717.41,1.16,-72.41,612D1136 Index,136D1612 Index,Italy,2016
South Korea,8857.57,1.02,5575.2,1.2,3282.37,0.81,2292.83,542D1136 Index,136D1542 Index,Italy,2016
Sweden,8558.0,0.98,4576.21,0.99,3981.79,0.98,594.42,144D1136 Index,136D1144 Index,Italy,2016
India,8535.58,0.98,3843.33,0.83,4692.25,1.15,-848.92,534D1136 Index,136D1534 Index,Italy,2016
Canada,7668.84,0.88,6036.05,1.3,1632.79,0.4,4403.26,156D1136 Index,136D1156 Index,Italy,2016
Brazil,7510.65,0.86,3933.52,0.85,3577.13,0.88,356.39,223D1136 Index,136D1223 Index,Italy,2016
Saudi Arabia,7450.41,0.86,4623.72,1.0,2826.69,0.69,1797.03,456D1136 Index,136D1456 Index,Italy,2016
Greece,7174.33,0.82,4305.38,0.93,2868.95,0.71,1436.43,174D1136 Index,136D1174 Index,Italy,2016
Slovenia,7051.27,0.81,4114.22,0.89,2937.05,0.72,1177.17,961D1136 Index,136D1961 Index,Italy,2016
Mexico,6798.34,0.78,5609.24,1.21,1189.1,0.29,4420.14,273D1136 Index,136D1273 Index,Italy,2016
United Arab Emirates,6464.38,0.74,5411.37,1.17,1053.01,0.26,4358.36,466D1136 Index,136D1466 Index,Italy,2016
Hong Kong,6391.75,0.73,6127.07,1.32,264.68,0.07,5862.39,532D1136 Index,136D1532 Index,Italy,2016
Slovakia,6285.68,0.72,2641.0,0.57,3644.68,0.9,-1003.68,936D1136 Index,136D1936 Index,Italy,2016
Portugal,5520.92,0.63,3740.59,0.81,1780.33,0.44,1960.26,182D1136 Index,136D1182 Index,Italy,2016
Denmark,5494.91,0.63,3045.17,0.66,2449.74,0.6,595.43,128D1136 Index,136D1128 Index,Italy,2016
Ireland,5439.84,0.62,1628.26,0.35,3811.58,0.94,-2183.32,178D1136 Index,136D1178 Index,Italy,2016
Tunisia,5309.08,0.61,2826.83,0.61,2482.25,0.61,344.58,744D1136 Index,136D1744 Index,Italy,2016
Australia,5200.25,0.6,4661.68,1.01,538.57,0.13,4123.11,193D1136 Index,136D1193 Index,Italy,2016
Bulgaria,5078.19,0.58,2291.48,0.49,2786.71,0.69,-495.23,918D1136 Index,136D1918 Index,Italy,2016
Vietnam,4713.87,0.54,1427.0,0.31,3286.87,0.81,-1859.87,582D1136 Index,136D1582 Index,Italy,2016
Croatia,4443.38,0.51,2755.64,0.59,1687.74,0.41,1067.9,960D1136 Index,136D1960 Index,Italy,2016
Iraq,3992.15,0.46,724.79,0.16,3267.36,0.8,-2542.57,433D1136 Index,136D1433 Index,Italy,2016
Serbia,3854.63,0.44,1882.31,0.41,1972.32,0.48,-90.01,942D1136 Index,136D1942 Index,Italy,2016
Singapore,3820.49,0.44,3530.67,0.76,289.82,0.07,3240.85,576D1136 Index,136D1576 Index,Italy,2016
Israel,3760.02,0.43,2759.24,0.59,1000.78,0.25,1758.46,436D1136 Index,136D1436 Index,Italy,2016
Egypt,3747.05,0.43,2050.6,0.44,1696.45,0.42,354.15,469D1136 Index,136D1469 Index,Italy,2016
Azerbaijan,3564.83,0.41,332.44,0.07,3232.39,0.79,-2899.95,912D1136 Index,136D1912 Index,Italy,2016
Ukraine,3553.79,0.41,1358.72,0.29,2195.07,0.54,-836.35,926D1136 Index,136D1926 Index,Italy,2016
Thailand,3459.03,0.4,1896.4,0.41,1562.63,0.38,333.77,578D1136 Index,136D1578 Index,Italy,2016
South Africa,3431.19,0.39,1958.15,0.42,1473.04,0.36,485.11,199D1136 Index,136D1199 Index,Italy,2016
Libya,3298.24,0.38,1308.75,0.28,1989.49,0.49,-680.74,672D1136 Index,136D1672 Index,Italy,2016
Indonesia,3224.02,0.37,1387.2,0.3,1836.82,0.45,-449.62,536D1136 Index,136D1536 Index,Italy,2016
Morocco,3187.02,0.37,2263.7,0.49,923.32,0.23,1340.38,686D1136 Index,136D1686 Index,Italy,2016
Finland,3095.07,0.36,1613.86,0.35,1481.21,0.36,132.65,172D1136 Index,136D1172 Index,Italy,2016
Norway,2921.18,0.34,2178.43,0.47,742.75,0.18,1435.68,142D1136 Index,136D1142 Index,Italy,2016
Argentina,2521.44,0.29,1435.87,0.31,1085.57,0.27,350.3,213D1136 Index,136D1213 Index,Italy,2016
Kazakhstan,2463.66,0.28,835.73,0.18,1627.93,0.4,-792.2,916D1136 Index,136D1916 Index,Italy,2016
Malaysia,2450.28,0.28,1388.6,0.3,1061.68,0.26,326.92,548D1136 Index,136D1548 Index,Italy,2016
Iran,2374.63,0.27,1226.84,0.26,1147.79,0.28,79.05,429D1136 Index,136D1429 Index,Italy,2016
Albania,2358.52,0.27,1366.06,0.29,992.46,0.24,373.6,914D1136 Index,136D1914 Index,Italy,2016
Qatar,2298.55,0.26,1285.4,0.28,1013.15,0.25,272.25,453D1136 Index,136D1453 Index,Italy,2016
Lithuania,2040.11,0.23,1494.11,0.32,546.0,0.13,948.11,946D1136 Index,136D1946 Index,Italy,2016
Chile,2004.07,0.23,1095.93,0.24,908.14,0.22,187.79,228D1136 Index,136D1228 Index,Italy,2016
Bangladesh,1984.13,0.23,522.04,0.11,1462.08,0.36,-940.04,513D1136 Index,136D1513 Index,Italy,2016
Bosnia and Herzegovina,1829.4,0.21,1076.36,0.23,753.05,0.19,323.31,963D1136 Index,136D1963 Index,Italy,2016
Malta,1820.84,0.21,1372.31,0.3,448.53,0.11,923.78,181D1136 Index,136D1181 Index,Italy,2016
Kuwait,1488.36,0.17,464.03,0.1,1024.33,0.25,-560.3,443D1136 Index,136D1443 Index,Italy,2016
Lebanon,1459.99,0.17,1421.79,0.31,38.2,0.01,1383.59,446D1136 Index,136D1446 Index,Italy,2016
Luxembourg,1422.81,0.16,455.1,0.1,967.71,0.24,-512.6,137D1136 Index,136D1137 Index,Italy,2016
Colombia,1381.56,0.16,761.29,0.16,620.27,0.15,141.02,233D1136 Index,136D1233 Index,Italy,2016
Peru,1256.68,0.14,774.35,0.17,482.33,0.12,292.02,293D1136 Index,136D1293 Index,Italy,2016
Pakistan,1191.6,0.14,527.47,0.11,664.13,0.16,-136.66,564D1136 Index,136D1564 Index,Italy,2016
New Zealand,1015.73,0.12,742.96,0.16,272.77,0.07,470.19,196D1136 Index,136D1196 Index,Italy,2016
Nigeria,1006.52,0.12,337.77,0.07,668.74,0.16,-330.97,694D1136 Index,136D1694 Index,Italy,2016
Congo,980.61,0.11,203.41,0.04,777.2,0.19,-573.79,634D1136 Index,136D1634 Index,Italy,2016
Jordan,835.63,0.1,787.8,0.17,47.83,0.01,739.97,439D1136 Index,136D1439 Index,Italy,2016
Angola,773.22,0.09,316.25,0.07,456.97,0.11,-140.72,614D1136 Index,136D1614 Index,Italy,2016
Philippines,751.94,0.09,511.24,0.11,240.7,0.06,270.54,566D1136 Index,136D1566 Index,Italy,2016
Macau,705.45,0.08,699.11,0.15,6.34,0.0,692.77,546D1136 Index,136D1546 Index,Italy,2016
Turkmenistan,685.21,0.08,262.58,0.06,422.63,0.1,-160.05,925D1136 Index,136D1925 Index,Italy,2016
Ethiopia,684.98,0.08,627.73,0.14,57.25,0.01,570.49,644D1136 Index,136D1644 Index,Italy,2016
Latvia,664.58,0.08,529.17,0.11,135.42,0.03,393.76,941D1136 Index,136D1941 Index,Italy,2016
Belarus,654.06,0.08,576.38,0.12,77.67,0.02,498.71,913D1136 Index,136D1913 Index,Italy,2016
Sri Lanka,652.57,0.07,276.12,0.06,376.45,0.09,-100.33,524D1136 Index,136D1524 Index,Italy,2016
Ecuador,648.3,0.07,257.83,0.06,390.47,0.1,-132.65,248D1136 Index,136D1248 Index,Italy,2016
Dominican Republic,590.89,0.07,536.27,0.12,54.62,0.01,481.64,243D1136 Index,136D1243 Index,Italy,2016
Macedonia,574.24,0.07,384.88,0.08,189.36,0.05,195.52,962D1136 Index,136D1962 Index,Italy,2016
Cameroon,548.24,0.06,117.89,0.03,430.35,0.11,-312.45,622D1136 Index,136D1622 Index,Italy,2016
Moldova,543.1,0.06,280.77,0.06,262.32,0.06,18.45,921D1136 Index,136D1921 Index,Italy,2016
Cote D Ivoire,528.19,0.06,200.76,0.04,327.43,0.08,-126.66,662D1136 Index,136D1662 Index,Italy,2016
Estonia,524.28,0.06,393.92,0.08,130.36,0.03,263.56,939D1136 Index,136D1939 Index,Italy,2016
Cyprus,520.05,0.06,447.03,0.1,73.02,0.02,374.0,423D1136 Index,136D1423 Index,Italy,2016
Costa Rica,493.17,0.06,199.03,0.04,294.14,0.07,-95.1,238D1136 Index,136D1238 Index,Italy,2016
Bahrain,463.16,0.05,326.8,0.07,136.36,0.03,190.43,419D1136 Index,136D1419 Index,Italy,2016
Ghana,452.56,0.05,205.34,0.04,247.22,0.06,-41.88,652D1136 Index,136D1652 Index,Italy,2016
Mozambique,451.68,0.05,44.37,0.01,407.31,0.1,-362.95,688D1136 Index,136D1688 Index,Italy,2016
Gabon,449.9,0.05,58.02,0.01,391.89,0.1,-333.87,646D1136 Index,136D1646 Index,Italy,2016
Venezuela,429.38,0.05,335.28,0.07,94.1,0.02,241.18,299D1136 Index,136D1299 Index,Italy,2016
Cuba,427.25,0.05,405.59,0.09,21.66,0.01,383.93,928D1136 Index,136D1928 Index,Italy,2016
Paraguay,408.44,0.05,75.14,0.02,333.3,0.08,-258.15,288D1136 Index,136D1288 Index,Italy,2016
Cambodia,379.04,0.04,39.7,0.01,339.34,0.08,-299.65,522D1136 Index,136D1522 Index,Italy,2016
Uruguay,371.74,0.04,132.05,0.03,239.68,0.06,-107.63,298D1136 Index,136D1298 Index,Italy,2016
Oman,349.47,0.04,293.79,0.06,55.68,0.01,238.11,449D1136 Index,136D1449 Index,Italy,2016
Georgia,333.59,0.04,262.78,0.06,70.81,0.02,191.97,915D1136 Index,136D1915 Index,Italy,2016
Kenya,291.44,0.03,233.87,0.05,57.57,0.01,176.3,664D1136 Index,136D1664 Index,Italy,2016
Equatorial Guinea,265.89,0.03,26.34,0.01,239.55,0.06,-213.2,642D1136 Index,136D1642 Index,Italy,2016
"Congo, Democratic Republic",260.99,0.03,91.11,0.02,169.88,0.04,-78.77,636D1136 Index,136D1636 Index,Italy,2016
Mauritius,260.64,0.03,105.69,0.02,154.95,0.04,-49.26,684D1136 Index,136D1684 Index,Italy,2016
Guatemala,245.33,0.03,132.58,0.03,112.76,0.03,19.82,258D1136 Index,136D1258 Index,Italy,2016
Senegal,208.27,0.02,132.54,0.03,75.73,0.02,56.81,722D1136 Index,136D1722 Index,Italy,2016
Iceland,202.51,0.02,176.39,0.04,26.12,0.01,150.27,176D1136 Index,136D1176 Index,Italy,2016
Montenegro,196.51,0.02,169.76,0.04,26.75,0.01,143.01,943D1136 Index,136D1943 Index,Italy,2016
Panama,193.02,0.02,172.5,0.04,20.52,0.01,151.97,283D1136 Index,136D1283 Index,Italy,2016
Uzbekistan,176.29,0.02,160.51,0.03,15.78,0.0,144.73,927D1136 Index,136D1927 Index,Italy,2016
Mauritania,174.67,0.02,59.64,0.01,115.03,0.03,-55.39,682D1136 Index,136D1682 Index,Italy,2016
Armenia,162.02,0.02,128.63,0.03,33.4,0.01,95.23,911D1136 Index,136D1911 Index,Italy,2016
Sudan,159.48,0.02,141.79,0.03,17.69,0.0,124.1,732D1136 Index,136D1732 Index,Italy,2016
Bolivia,156.73,0.02,100.3,0.02,56.43,0.01,43.87,218D1136 Index,136D1218 Index,Italy,2016
Uganda,150.28,0.02,41.08,0.01,109.2,0.03,-68.13,746D1136 Index,136D1746 Index,Italy,2016
Honduras,149.03,0.02,77.56,0.02,71.47,0.02,6.1,268D1136 Index,136D1268 Index,Italy,2016
Myanmar,141.05,0.02,36.16,0.01,104.89,0.03,-68.73,518D1136 Index,136D1518 Index,Italy,2016
Tanzania,130.26,0.01,87.66,0.02,42.59,0.01,45.07,738D1136 Index,136D1738 Index,Italy,2016
Bermuda,123.04,0.01,122.95,0.03,0.1,0.0,122.85,319D1136 Index,136D1319 Index,Italy,2016
Syria,120.16,0.01,111.82,0.02,8.35,0.0,103.47,463D1136 Index,136D1463 Index,Italy,2016
El Salvador,105.55,0.01,75.37,0.02,30.18,0.01,45.18,253D1136 Index,136D1253 Index,Italy,2016
Papua New Guinea,98.3,0.01,25.0,0.01,73.3,0.02,-48.3,853D1136 Index,136D1853 Index,Italy,2016
Tajikistan,93.31,0.01,12.94,0.0,80.37,0.02,-67.43,923D1136 Index,136D1923 Index,Italy,2016
Zambia,90.06,0.01,39.92,0.01,50.14,0.01,-10.21,754D1136 Index,136D1754 Index,Italy,2016
Seychelles,85.84,0.01,33.22,0.01,52.62,0.01,-19.39,718D1136 Index,136D1718 Index,Italy,2016
Nicaragua,83.06,0.01,52.8,0.01,30.26,0.01,22.54,278D1136 Index,136D1278 Index,Italy,2016
Madagascar,74.8,0.01,47.24,0.01,27.56,0.01,19.67,674D1136 Index,136D1674 Index,Italy,2016
Mongolia,74.16,0.01,31.99,0.01,42.17,0.01,-10.18,948D1136 Index,136D1948 Index,Italy,2016
Mali,73.65,0.01,66.82,0.01,6.82,0.0,60.0,678D1136 Index,136D1678 Index,Italy,2016
New Caledonia,71.7,0.01,59.66,0.01,12.05,0.0,47.61,839D1136 Index,136D1839 Index,Italy,2016
Zimbabwe,62.27,0.01,8.54,0.0,53.73,0.01,-45.19,698D1136 Index,136D1698 Index,Italy,2016
Liberia,62.0,0.01,33.32,0.01,28.68,0.01,4.65,668D1136 Index,136D1668 Index,Italy,2016
Burkina Faso,58.9,0.01,56.12,0.01,2.78,0.0,53.35,748D1136 Index,136D1748 Index,Italy,2016
Laos,46.12,0.01,15.55,0.0,30.58,0.01,-15.03,544D1136 Index,136D1544 Index,Italy,2016
Maldives,43.56,0.01,33.59,0.01,9.97,0.0,23.63,556D1136 Index,136D1556 Index,Italy,2016
Togo,36.96,0.0,22.27,0.0,14.69,0.0,7.58,742D1136 Index,136D1742 Index,Italy,2016
Solomon Islands,34.28,0.0,0.24,0.0,34.04,0.01,-33.8,813D1136 Index,136D1813 Index,Italy,2016
Guyana,33.98,0.0,3.79,0.0,30.19,0.01,-26.4,336D1136 Index,136D1336 Index,Italy,2016
Guinea,33.97,0.0,29.57,0.01,4.41,0.0,25.16,656D1136 Index,136D1656 Index,Italy,2016
Benin,33.44,0.0,25.82,0.01,7.62,0.0,18.2,638D1136 Index,136D1638 Index,Italy,2016
Brunei Darussalam,30.45,0.0,30.3,0.01,0.15,0.0,30.14,516D1136 Index,136D1516 Index,Italy,2016
Central African Rep.,29.79,0.0,28.33,0.01,1.47,0.0,26.86,626D1136 Index,136D1626 Index,Italy,2016
Djibouti,28.53,0.0,27.46,0.01,1.08,0.0,26.38,611D1136 Index,136D1611 Index,Italy,2016
Malawi,26.97,0.0,13.42,0.0,13.55,0.0,-0.13,676D1136 Index,136D1676 Index,Italy,2016
Kyrgyzstan,26.53,0.0,25.44,0.01,1.09,0.0,24.35,917D1136 Index,136D1917 Index,Italy,2016
Somalia,24.87,0.0,23.9,0.01,0.97,0.0,22.93,726D1136 Index,136D1726 Index,Italy,2016
Jamaica,24.45,0.0,22.29,0.0,2.17,0.0,20.12,343D1136 Index,136D1343 Index,Italy,2016
Rwanda,24.15,0.0,20.78,0.0,3.37,0.0,17.42,714D1136 Index,136D1714 Index,Italy,2016
Nepal,23.69,0.0,13.01,0.0,10.68,0.0,2.32,558D1136 Index,136D1558 Index,Italy,2016
Faeroe Islands,20.29,0.0,20.1,0.0,0.19,0.0,19.9,816D1136 Index,136D1816 Index,Italy,2016
Barbados,19.88,0.0,19.45,0.0,0.43,0.0,19.01,316D1136 Index,136D1316 Index,Italy,2016
Cape Verde,19.74,0.0,12.42,0.0,7.32,0.0,5.1,624D1136 Index,136D1624 Index,Italy,2016
Dominica,18.71,0.0,18.66,0.0,0.05,0.0,18.61,321D1136 Index,136D1321 Index,Italy,2016
Niger,16.8,0.0,16.67,0.0,0.13,0.0,16.54,692D1136 Index,136D1692 Index,Italy,2016
Belize,16.04,0.0,0.96,0.0,15.07,0.0,-14.11,339D1136 Index,136D1339 Index,Italy,2016
Fiji,14.13,0.0,14.0,0.0,0.13,0.0,13.87,819D1136 Index,136D1819 Index,Italy,2016
Haiti,12.88,0.0,10.41,0.0,2.48,0.0,7.93,263D1136 Index,136D1263 Index,Italy,2016
Chad,10.95,0.0,10.91,0.0,0.04,0.0,10.87,628D1136 Index,136D1628 Index,Italy,2016
Bahamas,10.11,0.0,7.95,0.0,2.15,0.0,5.8,313D1136 Index,136D1313 Index,Italy,2016
Sierra Leone,9.81,0.0,9.12,0.0,0.7,0.0,8.42,724D1136 Index,136D1724 Index,Italy,2016
Peoples Democratic Republic of Yemen,9.51,0.0,5.34,0.0,4.17,0.0,1.17,474D1136 Index,136D1474 Index,Italy,2016
St. Vincent & Grens.,8.59,0.0,5.7,0.0,2.88,0.0,2.82,364I1136 Index,136D1364 Index,Italy,2016
Burundi,8.16,0.0,6.07,0.0,2.08,0.0,3.99,618D1136 Index,136D1618 Index,Italy,2016
